dtype,batch_size,horizon,action_dim,elements,hidden_dim,action_head_ms,torch_postprocess_us,triton_postprocess_us,triton_speedup,max_error
bf16,1,10,14,140,1024,0.031235520839691163,29.865760803222656,20.91520071029663,1.4279452163478226,0.0078125
bf16,1,10,64,640,1024,0.03425296068191528,30.43839931488037,24.632160663604736,1.2357177971745956,0.0078125
bf16,1,32,14,448,1024,0.03485696077346802,30.26576042175293,20.259840488433838,1.493879502113128,0.0078125
bf16,1,32,64,2048,1024,0.07096320152282715,28.625919818878174,20.42736053466797,1.401351866791412,0.0078125
bf16,1,64,14,896,1024,0.031233279705047606,28.939359188079834,20.17888069152832,1.4341409531317273,0.0078125
bf16,1,64,64,4096,1024,0.03111471891403198,28.784639835357666,20.577919483184814,1.3988119575877895,0.0078125
bf16,4,10,14,560,1024,0.03244447946548462,47.94879913330078,20.147199630737305,2.3799237617196356,0.0078125
bf16,4,10,64,2560,1024,0.035030879974365235,29.265921115875244,93.75743865966797,0.31214505786690916,0.0078125
bf16,4,32,14,1792,1024,0.03522559881210327,28.50303888320923,19.726719856262207,1.4448949998223348,0.0078125
bf16,4,32,64,8192,1024,0.03245919942855835,28.394720554351807,20.45952081680298,1.38784875797442,0.0078125
bf16,4,64,14,3584,1024,0.312704963684082,28.54543924331665,20.008959770202637,1.426632847042181,0.0078125
bf16,4,64,64,16384,1024,0.0582590389251709,28.492801189422607,20.01408100128174,1.4236377472239607,0.0078125
bf16,16,10,14,2240,1024,0.035150399208068846,34.62575912475586,66.04288101196289,0.5242920750002382,0.0078125
bf16,16,10,64,10240,1024,0.035179519653320314,28.718080520629883,20.02943992614746,1.4337934873126346,0.0078125
bf16,16,32,14,7168,1024,0.035225279331207275,29.829120635986328,23.301119804382324,1.2801582450289046,0.0078125
bf16,16,32,64,32768,1024,0.032546401023864746,28.630878925323486,20.101120471954346,1.4243424372919957,0.0078125
bf16,16,64,14,14336,1024,0.0386406397819519,28.595199584960938,19.671039581298828,1.4536699734032494,0.0078125
bf16,16,64,64,65536,1024,0.03264415979385376,68.86752128601074,19.92192029953003,3.4568716394089467,0.0078125
bf16,64,10,14,8960,1024,0.03501568078994751,28.65664005279541,19.650399684906006,1.4583235207580707,0.0078125
bf16,64,10,64,40960,1024,0.03488255977630615,189.74191665649414,20.183520317077637,9.400833634356148,0.0078125
bf16,64,32,14,28672,1024,0.03649136066436767,29.870080947875977,300.7793617248535,0.09930894452525796,0.0078125
bf16,64,32,64,131072,1024,0.03819504022598266,28.786239624023438,21.268479824066162,1.35346954094249,0.0078125
bf16,64,64,14,57344,1024,0.035814399719238284,29.067039489746094,20.81792116165161,1.3962508198604413,0.0078125
bf16,64,64,64,262144,1024,0.03372623920440674,29.24031972885132,20.4748797416687,1.428107031532105,0.0078125
bf16,256,10,14,35840,1024,0.03442032098770142,29.408318996429443,20.076959133148193,1.4647795416326095,0.0078125
bf16,256,10,64,163840,1024,0.036311039924621584,289.75616455078125,20.353760719299316,14.236001324120714,0.0078125
bf16,256,32,14,114688,1024,0.03705856084823608,28.928000926971436,20.20319938659668,1.4318524691768875,0.0078125
bf16,256,32,64,524288,1024,0.049028639793395994,28.729279041290283,20.373599529266357,1.4101228896749993,0.0078125
bf16,256,64,14,229376,1024,0.03607039928436279,28.323841094970703,19.87071990966797,1.4254058848260411,0.0078125
bf16,256,64,64,1048576,1024,0.38860286712646486,29.451839923858643,21.094400882720947,1.3961922923340062,0.0078125
