dtype,attn_implementation,batch_size,prompt_len,decode_len,prefill_ms,decode_ms,ttft_est_ms,tpot_ms,decode_tokens_per_s,max_memory_mib
bf16,sdpa,1,128,32,11.02612097747624,363.02784737199545,22.370741207851097,11.344620230374858,88.14750777840337,1069.591796875
bf16,sdpa,1,128,128,11.003170317659775,1455.1311359973624,22.371382317639167,11.368211999979394,87.96458053402,1070.716796875
bf16,sdpa,1,512,32,12.375246966257691,365.3852769639343,23.79353687138064,11.418289905122947,87.57878879492615,1414.87890625
bf16,sdpa,1,512,128,12.357526381189624,1448.7276300011824,23.67571099057386,11.318184609384238,88.35339186558865,1416.00390625
bf16,sdpa,1,1024,32,16.34410865760098,368.71589138172567,27.866480263279907,11.522371605678927,86.78768870005365,1878.88671875
bf16,sdpa,1,1024,128,16.358732323472697,1487.6108047319576,27.980691735441116,11.621959411968419,86.04401070013971,1880.01171875
bf16,sdpa,2,128,32,11.179227304334441,382.26559793110937,23.125027239681607,11.945799935347168,167.42286082341593,1183.296875
bf16,sdpa,2,128,128,11.408270336687565,1524.0490729532514,23.31490371913484,11.906633382447277,167.97359385805848,1185.546875
bf16,sdpa,2,512,32,16.427414026111364,383.11059536257136,28.399620131191718,11.972206105080355,167.05358915858528,1879.30859375
bf16,sdpa,2,512,128,17.390351664895814,1510.9151623522241,29.194376370772567,11.804024705876751,169.43373551262394,1881.55859375
bf16,sdpa,2,1024,32,29.414606707481045,370.7444150156031,41.00036967671864,11.585762969237598,172.62566179805162,2808.82421875
bf16,sdpa,2,1024,128,28.10191366976748,1492.5796076422557,39.76269185447261,11.660778184705123,171.51513975484954,2811.07421875
bf16,sdpa,4,128,32,12.277580332010984,367.7856176703547,23.770880884209568,11.493300552198585,348.02883487066117,1416.14453125
bf16,sdpa,4,128,128,12.22232038465639,1502.1698146980877,23.9580220619852,11.73570167732881,340.8402931481511,1420.64453125
bf16,sdpa,4,512,32,28.748420299962163,392.4052173194165,41.01108334119393,12.262663041231766,326.19342034845687,2809.66796875
bf16,sdpa,4,512,128,27.333716008191306,1549.384084995836,39.43827917222127,12.104563164029969,330.4538912966671,2814.16796875
bf16,sdpa,4,1024,32,55.83625096672525,412.64286369550973,68.73134045720994,12.89508949048468,310.19559832846534,4688.60546875
bf16,sdpa,4,1024,128,58.399781972790755,1572.2658853046596,70.6831092017334,12.283327228942653,325.6446665830883,4696.1640625
