step,fetch_observation,latency_ms,chunk_index,queue_active,sent_action,action_l2
0,1,94233.33781957626,1,1,1,2.2531857176895835
1,0,0.04756450653076172,2,1,1,2.2589352112056824
2,0,0.07745623588562012,3,1,1,2.2650604534329877
3,0,0.044479966163635254,4,1,1,2.267553356875517
4,0,0.06698071956634521,5,1,1,2.277311779595099
5,0,0.04079937934875488,6,1,1,2.2790917405221047
6,0,0.059641897678375244,7,1,1,2.2886225573102505
7,0,0.05077570676803589,8,1,1,2.2965283262390996
8,0,0.06014108657836914,9,1,1,2.3069467347020747
9,0,0.040903687477111816,10,1,1,2.3158286016101406
10,0,0.04067271947860718,11,1,1,2.3255307348636203
11,0,0.052094459533691406,12,1,1,2.336268839277233
12,0,0.0645667314529419,13,1,1,2.3456529521226774
13,0,0.0581592321395874,14,1,1,2.3635217377323148
14,0,0.04391372203826904,15,1,1,2.376297536830256
15,0,0.044286251068115234,16,1,1,2.393008403066141
16,0,0.04556030035018921,17,1,1,2.4071999836383666
17,0,0.0416487455368042,18,1,1,2.434395464053072
18,0,0.05809217691421509,19,1,1,2.4539708164247735
19,0,0.03840029239654541,20,1,1,2.4870939354307358
20,0,0.03439188003540039,21,1,1,2.514286579161771
21,0,0.04727393388748169,22,1,1,2.5576163365089153
22,0,0.03653764724731445,23,1,1,2.589953992872571
23,0,0.044561922550201416,24,1,1,2.6528666196239628
24,0,0.047557055950164795,25,1,1,2.705329532238581
25,0,0.04045665264129639,26,1,1,2.741283031463583
26,0,0.04756450653076172,27,1,1,2.781520939963561
27,0,0.04529207944869995,28,1,1,2.7885839403343295
28,0,0.06126612424850464,29,1,1,2.78808614636816
29,0,0.045083463191986084,30,1,1,2.765617890266334
30,0,0.05169957876205444,31,1,1,2.755546498183084
31,0,0.05399435758590698,32,1,1,2.743581668367819
32,0,0.04612654447555542,33,1,1,2.72721065917348
33,0,0.06000697612762451,34,1,1,2.7151360311925004
34,0,0.05345791578292847,35,1,1,2.713175092938175
35,0,0.04414469003677368,36,1,1,2.7015562754776767
36,0,0.05564093589782715,37,1,1,2.690003426997682
37,0,0.04075467586517334,38,1,1,2.673080445010773
38,0,0.03692507743835449,39,1,1,2.6655424893861843
39,0,0.047594308853149414,40,1,1,2.660084107205315
40,0,0.0700727105140686,41,1,1,2.6655638619248454
41,0,0.059977173805236816,42,1,1,2.6541671873771353
42,0,80.29631525278091,43,1,1,2.647817811928129
43,0,0.03246217966079712,44,1,1,2.6477559592638418
44,0,0.05441904067993164,45,1,1,2.6404192468673995
45,0,0.05406886339187622,46,1,1,2.642448728627637
46,1,80508.14090669155,47,1,1,2.6396641809687647
47,0,0.050634145736694336,48,1,1,2.64185791294496
48,0,0.047750771045684814,49,1,1,2.6370530076381544
49,0,0.0546574592590332,0,1,1,2.6397666801944086
50,0,0.08689612150192261,1,1,1,2.5341366326562333
51,0,0.05317479372024536,2,1,1,2.5454763928366306
52,0,0.0424310564994812,3,1,1,2.568946426131018
53,0,0.05017220973968506,4,1,1,2.571794400304003
54,0,0.037103891372680664,5,1,1,2.592303985849791
55,0,0.04519522190093994,6,1,1,2.598130897248458
56,0,0.0445246696472168,7,1,1,2.6080033908768745
57,0,0.03475695848464966,8,1,1,2.6244071261372386
58,0,0.03520399332046509,9,1,1,2.639951773821811
59,0,0.031247735023498535,10,1,1,2.640788924833888
60,0,0.037610530853271484,11,1,1,2.649889673467716
61,0,0.04267692565917969,12,1,1,2.6534206242635268
62,0,0.0386163592338562,13,1,1,2.668375047266972
63,0,0.03857165575027466,14,1,1,2.6705562856035963
64,0,0.04209578037261963,15,1,1,2.6769824876127775
65,0,0.03349781036376953,16,1,1,2.6791229951639846
66,0,0.03503262996673584,17,1,1,2.691629876932307
67,0,0.0393986701965332,18,1,1,2.6873748659303978
68,0,0.043235719203948975,19,1,1,2.7007421793929924
69,0,0.06054341793060303,20,1,1,2.711007958990447
70,0,0.05426257848739624,21,1,1,2.725429090143209
71,0,0.05112588405609131,22,1,1,2.7373006891672453
72,0,0.050634145736694336,23,1,1,2.74163591407382
73,0,0.05857646465301514,24,1,1,2.7473839538258473
74,0,0.048138201236724854,25,1,1,2.7616106445480835
75,0,0.0454634428024292,26,1,1,2.772382895976003
76,0,0.043645501136779785,27,1,1,2.7878411254002877
77,0,0.04260987043380737,28,1,1,2.792426061846052
78,0,0.04143267869949341,29,1,1,2.7988708878388167
79,0,0.04232674837112427,30,1,1,2.8116352003488054
80,0,0.046975910663604736,31,1,1,2.8188867702182194
81,0,0.044092535972595215,32,1,1,2.8260047314455687
82,0,0.03847479820251465,33,1,1,2.830036982598437
83,0,0.03606826066970825,34,1,1,2.836168427346336
84,0,0.03773719072341919,35,1,1,2.8453447643296284
85,0,0.0435560941696167,36,1,1,2.855373454104915
86,0,0.040821731090545654,37,1,1,2.8640440930742286
87,0,0.03661215305328369,38,1,1,2.864936206113515
88,0,0.04400312900543213,39,1,1,2.8799091215529935
89,0,0.03826618194580078,40,1,1,2.885906076304365
90,0,0.052832067012786865,41,1,1,2.87996492169539
91,0,0.03349781036376953,42,1,1,2.892745202750329
92,0,0.03851205110549927,43,1,1,2.897157019706317
93,0,0.03018975257873535,44,1,1,2.907112553950327
94,0,0.04419684410095215,45,1,1,2.911993895305744
95,0,0.0479966402053833,46,1,1,2.914187208802758
